event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.type,event_properties.channel_title,event_properties.channel_id
compatibility_channel_click,1710894118321000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,channels,The Channel of Recognition,29.0
compatibility_channel_click,1710897342437000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Preservation,26.0
compatibility_channel_click,1710897349597000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Transformation,30.0
compatibility_channel_click,1710897370172000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Power,31.0
compatibility_channel_click,1710897384613000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Logic,4.0
compatibility_channel_click,1710897406700000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Initiation,24.0
compatibility_channel_click,1710897418010000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Transformation,30.0
compatibility_channel_click,1710897425754000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Preservation,26.0
compatibility_channel_click,1710897431816000,aeb1e736-6150-4418-8721-3f1dcd447144,aeb1e736-6150-4418-8721-3f1dcd447144_1710897279387,/,subscribed,yearly_t_2,en,False,False,channels,The Channel of Structuring,22.0
compatibility_channel_click,1710938531256000,d4f3a9fe-5309-41f5-b855-1d8a8102419c,d4f3a9fe-5309-41f5-b855-1d8a8102419c_1710938491936,/,subscribed,6month_1_1999,en,False,False,channels,The Channel of Intimacy (Mating),6.0
compatibility_channel_click,1710937189649000,5a8ee028-07a8-47d0-a875-fc08e07f45b9,5a8ee028-07a8-47d0-a875-fc08e07f45b9_1710936446440,/,subscribed,weekly_3,en,False,False,channels,The Channel of Intimacy (Mating),6.0
