event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.ab_tooltips_enabled,event_properties.id,event_properties.title,event_properties.source
article_openID,1710892938363000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,False,325,Step 10: How do I apply Human Design?,tag
article_openID,1710892954539000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,False,316,Step 1: What is the Human Design System and how does it work?,tag
article_openID,1710894554852000,540a8a57-48ab-4b57-90eb-103da4d5ea5b,540a8a57-48ab-4b57-90eb-103da4d5ea5b_1710894469738,/,subscribed,yearly_t_2,False,365,Types of nutrition in Human Design,main
article_openID,1710894613730000,540a8a57-48ab-4b57-90eb-103da4d5ea5b,540a8a57-48ab-4b57-90eb-103da4d5ea5b_1710894469738,/,subscribed,yearly_t_2,False,366,What kind of work is suitable for a Projector?,main
article_openID,1710894665262000,540a8a57-48ab-4b57-90eb-103da4d5ea5b,540a8a57-48ab-4b57-90eb-103da4d5ea5b_1710894469738,/,subscribed,yearly_t_2,False,192,When You’re Both Waiting for an Invitation: Two Projectors Together,main
article_openID,1710895717404000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,293,Projector: How to Be Happy and Keep from Burning Out,main
article_openID,1710895792318000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,365,Types of nutrition in Human Design,main
article_openID,1710895831639000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,236,Indicators of Laziness in the Bodygraph,main
article_openID,1710895972430000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,236,Indicators of Laziness in the Bodygraph,main
article_openID,1710896313741000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,324,Step 9: The concept of incarnation cross,tag
article_openID,1710898458028000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,402,Compatibility of Manifesting Generator and Reflector,main
article_openID,1710898485623000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,365,Types of nutrition in Human Design,main
article_openID,1710898551854000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,317,Step 2: What is a personality type?,main
article_openID,1710898602234000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,318,Step 3: Decision-making strategy,main
article_openID,1710898643044000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,198,Who Are Manifesting Generators?,main
article_openID,1710899040865000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,188,The Manifesting Generator’s Not Self: Impatience,main
article_openID,1710899212318000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710898198673,/,subscribed,yearly_t_2,False,278,Manifesting Generator: Yin/Yang or Aura Perfection,main
article_openID,1710896718251000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,subscribed,weekly_1299_intro_promo_discount,False,324,Step 9: The concept of incarnation cross,tag
article_openID,1710896725841000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,subscribed,weekly_1299_intro_promo_discount,False,325,Step 10: How do I apply Human Design?,tag
article_openID,1710931153837000,803d11e9-b597-456c-b01c-3d13fed051bd,803d11e9-b597-456c-b01c-3d13fed051bd_1710931129609,/,subscribed,yearly_t_2,False,398,The Wisdom of the Projector,main
article_openID,1710931368233000,daef8c28-7eca-459e-a4e8-30824742d67d,daef8c28-7eca-459e-a4e8-30824742d67d_1710931338827,/,subscribed,yearly_t_2,False,402,Compatibility of Manifesting Generator and Reflector,tag
article_openID,1710931024927000,18ee9ae6-6757-4dfd-b1cd-821f30bf2f19,18ee9ae6-6757-4dfd-b1cd-821f30bf2f19_1710931022077,/,subscribed,yearly_t_2,False,386,What kind of work is suitable for a Generator?,tag
